id,unit,variant,english,english_alt_response,variant_text,variant_pronunciation,variant_alt_response,Speaker,audioKey,context_badge,extra_yes_or_no,extra_details,link
u05_w0013,u05,kv,to meet,make acquintance of ,fé lakònésans,,,Chaoui Leblanc,u05_w0013_kreole,,,,
u06_w0001,u06,kv,Where,,éyou,ayou,,Taalib,u06_w0001_kreole,,,,
u06_w0002,u06,kv,How,,komen,,,Alexandre Leblanc,u06_w0002_kreole,,,,
u06_w0003,u06,kv,Who,,ki,ki moun,,Daniele Simpson,u06_w0003_kreole,,,,
u06_w0004,u06,kv,Why,,kofè,,"poukwa, pouki, kwafé",Alexandre Leblanc, u06_w0004_kreole,,,,
u06_w0005,u06,kv,Which,,ki,kèl,,Taalib,u06_w0005_kreole,,,,
u06_w0006,u06,kv,What,,kwa,,"ça, ki",Daniele Simpson,u06_w0006_kreole,,,,
u06_w0007,u06,kv,When,,kan,ékan,,Aliza,u06_w0007_kreole,,,,
u06_w0008,u06,kv,after,about,apré,,,Taalib,u06_w0008_kreole,,,,
u06_w0009,u06,kv,for,"about, in order to",pou ,,,Taalib,u06_w0009_kreole,,,,
u06_w0010,u06,kv,since,,dépi,,,Daniele Simpson,u06_w0010_kreole,,,,
u06_w0011,u06,kv,have to ,,gin pou,,,Lauren Richard,u06_w0011_kreole,,,,
u06_w0012,u06,kv,Where do you live?,,éyou to rès?,,,Daniele Simpson,u06_w0012_kreole,,,,
u06_w0013,u06,kv,I live in Lafayette ,,mo rès a Lafayèt,,,Taalib,u06_w0013_kreole,,,,
u06_w0014,u06,kv,how many,how much,kombyin,,,Daniele Simpson,u06_w0014_kreole,,,,
u07_w0001,u07,kv,need to,,bezwin,,"bizon, bézon, bezwènn",Taalib,u07_w0001_kreole,,,,
u07_w0002,u07,kv,to see,,wa,,,Taalib,u07_w0002_kreole,,,,
u07_w0003,u07,kv,"can, to be able to ",,kapab,,"ka, pé",Lauren Richard,u07_w0003_kreole,,,,
u07_w0004,u07,kv,to drink,,bwa,,,Lauren Richard,u07_w0004_kreole,,,,
u07_w0005,u07,kv,to dance,,dansé,,,Daniele Simpson,u07_w0005_kreole,,,,
u07_w0006,u07,kv,to sleep,,dròmi,dormi,,Alexandre Leblanc,u07_w0006_kreole,,,,
u07_w0007,u07,kv,progressive marker,,apé,,"ap, ê ",Daniele Simpson,u07_w0007_kreole,,,"In Pointe-Coupée Parish, it is common to hear people use 'ê' instead of 'apé'",
u07_w0008,u07,kv,past tense marker,,té,,,Taalib,u07_w0008_kreole,,,,
u07_w0009,u07,kv,"should, would, could",conditional marker,sé,,,Lauren Richard,u07_w0009_kreole,,,,
u07_w0010,u07,kv,future tense,,"va, a",alé,,Taalib,u07_w0010_kreole,,,,
u07_w0011,u07,kv,he is dancing,,l'ap dansé,,,Chaoui Leblanc,u07_w0011_kreole,,,apé + verb,
u07_w0012,u07,kv,"Yes, I can see it ",,"Wé, mo ka wa li",,,Chaoui Leblanc,u07_w0012_kreole,,,,
u07_w0013,u07,kv,I was speaking,,mo t'apé parlé,,,Chaoui Leblanc,u07_w0013_kreole,,,Mo té + apé + verb,
u07_w0014,u07,kv,He should have done that ,,li té sé fé ça,,,Alexandre Leblanc,u07_w0014_kreole,,,,
u07_w0015,u07,kv,I played,,Mo té jwé,,,taalib,u07_w0015_kreole,,,,
u07_w0016,u07,kv,You will know,,To va konné,t'a konné ,,taalib,u07_w0016_kreole,,,,
u07_w0017,u07,kv,He should ask,,li sé mandé,,,taalib,u07_w0017_kreole,,,,
u07_w0018,u07,kv,She had spoke,,li té parlé,,,taalib,u07_w0018_kreole,,,,
u08_w0001,u08,kv,My,,Mô,,,Taalib,u08_w0001_kreole,,,,
u08_w0002,u08,kv,Your,,Tô,,,Taalib,u08_w0002_kreole,,,,
u08_w0003,u08,kv,"His, hers, its",,Sô,,,Taalib,u08_w0003_kreole,,,,
u08_w0004,u08,kv,Our,,"Nô, nou, nouzòt",,,Daniele Simpson,u08_w0004_kreole,,,,
u08_w0005,u08,kv,Y'all's,,"Vô, vou, vouzòt, zòt",,,Alexandre Leblanc,u08_w0005_kreole,,,,
u08_w0006,u08,kv,Their,,Yê,,,Taalib,u08_w0006_kreole,,,,
u08_w0007,u08,kv,My name is,,Mô nom çé,,,Lauren Richard,u08_w0007_kreole,,,,
u08_w0008,u08,kv,It was,,Çé té,,,Taalib,u08_w0008_kreole,,,,
u08_w0009,u08,kv,to use,,sèrvi,,,Daniele Simpson,u08_w0009_kreole,,,,
u08_w0010,u08,kv,toilet,,kòmòd,,,Taalib,u08_w0010_kreole,,,,
